"";"Customer_ID";"EstimatedChurnProbability"
"14645";1029316;1
"15849";1031677;1
"21079";1042245;0
"2764";1005432;1
"9744";1019581;1
"20877";1041857;0
"4436";1008759;1
"2552";1005032;1
"15402";1030798;1
"6382";1012749;0
"1976";1003886;0
"19900";1039855;1
"1382";1002722;0
"9505";1019099;0
"22583";1045242;1
"11765";1023578;1
"2713";1005329;0
"8001";1016048;1
"20124";1040306;0
"14295";1028642;1
"12717";1025484;1
"9997";1020056;1
"10919";1021883;1
"921";1001780;1
"22169";1044418;1
"4172";1008216;0
"11481";1022980;0
"15961";1031887;1
"18035";1036035;0
"7513";1015122;1
"23183";1046464;0
"11068";1022195;1
"6093";1012178;0
"13439";1026961;1
"9705";1019514;0
"432";1000795;1
"19506";1039036;0
"8473";1016973;1
"1193";1002352;1
"22795";1045672;0
"21099";1042285;0
"10534";1021134;0
"7394";1014862;1
"4371";1008627;0
"21682";1043432;0
"24780";1049615;1
"24321";1048653;1
"6164";1012319;0
"8999";1018073;1
"12229";1024542;1
"1636";1003218;0
"7558";1015205;1
"12634";1025313;0
"8904";1017873;1
"12391";1024852;1
"20938";1041969;1
"2408";1004734;1
"4461";1008815;1
"17069";1034154;0
"21572";1043220;1
"13031";1026124;1
"1241";1002452;0
"24699";1049462;1
"14516";1029059;1
"16955";1033934;1
"16628";1033246;1
"16255";1032522;0
"4398";1008689;0
"16309";1032618;1
"11208";1022440;1
"24844";1049744;0
"15369";1030734;0
"16464";1032934;1
"18307";1036584;1
"14320";1028681;1
"22657";1045377;1
"7303";1014684;0
"7161";1014408;1
"7819";1015688;1
"2006";1003942;1
"21703";1043477;1
"3160";1006238;1
"10441";1020939;0
"22923";1045921;1
"3759";1007427;1
"17334";1034656;0
"16984";1033980;0
"12952";1025940;1
"3659";1007211;0
"13252";1026566;0
"1625";1003192;0
"16558";1033097;0
"1910";1003760;0
"22265";1044601;0
"21699";1043468;0
"13605";1027275;0
"13170";1026396;1
"23562";1047206;1
"4736";1009336;1
"18337";1036647;0
"18806";1037596;1
"16977";1033969;0
"19175";1038411;0
"13280";1026641;1
"16252";1032516;0
"18060";1036090;0
"13004";1026056;0
"10507";1021087;1
"11828";1023719;1
"12612";1025273;1
"16224";1032444;1
"19050";1038136;1
"24967";1049997;0
"4022";1007927;0
"21134";1042353;1
"18506";1036982;0
"16301";1032607;1
"3471";1006858;1
"1957";1003841;1
"5275";1010482;1
"17640";1035281;1
"16356";1032712;1
"6519";1013056;0
"5128";1010144;0
"19996";1040034;0
"9706";1019515;1
"19734";1039490;1
"24665";1049377;1
"8970";1018005;0
"3176";1006264;0
"14912";1029864;1
"9538";1019163;0
"3549";1007003;1
"20";1000032;0
"19356";1038778;1
"5542";1011060;0
"18539";1037047;0
"14374";1028793;0
"22414";1044883;0
"24408";1048821;0
"24795";1049646;0
"13332";1026756;1
"12176";1024435;0
"10953";1021961;0
"14951";1029934;1
"12987";1026021;0
"7841";1015734;0
"11196";1022415;1
"3757";1007424;0
"10530";1021130;0
"23474";1047050;1
"8600";1017256;1
"23006";1046111;1
"8083";1016196;1
"6095";1012186;0
"8249";1016507;0
"12266";1024604;1
"6365";1012709;0
"16590";1033161;1
"16862";1033752;0
"22955";1045994;0
"3231";1006373;0
"10618";1021284;1
"23583";1047250;0
"23478";1047055;0
"16350";1032703;0
"14452";1028943;0
"18116";1036199;0
"13822";1027730;0
"376";1000684;1
"13078";1026213;1
"7237";1014547;1
"7239";1014550;0
"10818";1021675;0
"81";1000138;1
"19186";1038432;0
"20135";1040327;0
"17418";1034810;0
"2225";1004370;1
"5065";1010015;0
"11319";1022661;1
"17891";1035762;0
"15689";1031387;1
"17541";1035066;0
"10352";1020748;1
"443";1000819;0
"19340";1038745;1
"9611";1019315;0
"14213";1028489;1
"21174";1042453;1
"4693";1009250;0
"15392";1030782;1
"7429";1014929;0
"23890";1047858;0
"5150";1010192;0
"6266";1012503;1
"21081";1042249;0
"4262";1008400;0
"17223";1034432;0
"24906";1049878;1
"20994";1042077;0
"11433";1022881;1
"13935";1027938;0
"16406";1032828;0
"24299";1048594;1
"3212";1006334;0
"16573";1033129;0
"1626";1003193;0
"8377";1016767;0
"14665";1029355;1
"14302";1028652;0
"11132";1022303;1
"9023";1018123;0
"12253";1024577;1
"7061";1014182;0
"3971";1007824;0
"18988";1037998;1
"6738";1013502;0
"16865";1033755;1
"13117";1026284;1
"9960";1019984;1
"24251";1048503;0
"9211";1018531;0
"1584";1003111;1
"11413";1022834;0
"1892";1003726;0
"13158";1026369;1
"21535";1043150;0
"7831";1015713;0
"3158";1006233;1
"260";1000485;0
"8250";1016511;0
